Date,Artist,Song Name,Korean Name,Director,Video,Type,Release,video_seconds,real_id,viewCount,likeCount,commentCount
2020-05-22,Agust D,Daechwita,대취타,,https://youtu.be/qGjAWJ2zWWI,Boy Solo,Major,269,qGjAWJ2zWWI,400055012,14169804,1361748
2020-05-21,Yubin,yaya (Me Time),넵넵,,https://youtu.be/BJD0arHF_5c,Girl Solo,Major,186,BJD0arHF_5c,1164316,53308,2757
2020-05-21,OnlyOneOf,Angel (prod. GRAY),,,https://youtu.be/vVTo8p72FxQ,Boy,Major,221,vVTo8p72FxQ,7492213,81482,3994
2020-05-20,Ryu Sujeong,Tiger Eyes,,,https://youtu.be/aE6curPGQRY,Girl Solo,Major,225,aE6curPGQRY,2645267,42965,3526
2020-05-20,Crush,Mayday feat. Joy (Red Velvet),자나깨나,,https://youtu.be/29ycT6fA-Rs,Boy Solo,Major,201,29ycT6fA-Rs,16993641,652327,32200
2020-05-19,NCT 127,Punch,,,https://youtu.be/U08OSl3V4po,Boy,Major,214,U08OSl3V4po,44239419,1816711,464458
2020-05-19,SECRET NUMBER,Who Dis?,,,https://youtu.be/mkYwq_CKpyw,Girl,Major,209,mkYwq_CKpyw,45710809,1610731,456842
2020-05-18,REDSQUARE,ColorFull,,,https://youtu.be/we1wqjcsYBU,Girl,Major,217,FucOCGd1HPQ,846140,63301,5864
2020-05-18,N.Flying,Amnesia,,,https://youtu.be/UcxNeKzdDN4,Boy,Japanese,220,UcxNeKzdDN4,430441,29588,1654
2020-05-18,TXT,Can't You See Me?,"세계가 불타버린 밤, 우린...",,https://youtu.be/cMFHUTJ13Ys,Boy,Major,230,cMFHUTJ13Ys,68651277,3525284,600477
2020-05-15,woo!ah!,woo!ah!,우아,,https://youtu.be/FBcuYNTmYdM,Girl,Major,219,FBcuYNTmYdM,683478,41120,2916
2020-05-15,Oh My Girl,Dolphin,,,https://youtu.be/oaRTMjLdiDw,Girl,Special,181,oaRTMjLdiDw,32264006,0,12174
2020-05-14,UNVS,Give You Up,,,https://youtu.be/AhHkUqlELvU,Boy,Major,252,AhHkUqlELvU,160022,5040,494
2020-05-13,Busters,Paeonia,피오니아,,https://youtu.be/ocFqqAMooSk,Girl,Major,198,ocFqqAMooSk,423471,26353,2847
2020-05-13,BOL4,Hug,품,,https://youtu.be/qfeoX17dav0,Girl,Major,226,qfeoX17dav0,4498442,114698,4061
2020-05-12,BVNDIT,Jungle,정글,,https://youtu.be/-lqsGDqkl2c,Girl,Major,188,-lqsGDqkl2c,1468632,126823,6061
2020-05-12,"Baek Z Young, Ong Seongwu",didn't say anything,아무런 말들도,,https://youtu.be/nfEPWfKtS0k,Co-ed,Special,228,nfEPWfKtS0k,847074,60321,2775
2020-05-11,NU'EST,I'm In Trouble,,,https://youtu.be/4Lm9u-iXrDc,Boy,Major,201,4Lm9u-iXrDc,24589861,452918,46204
2020-05-11,DAY6,Zombie,,,https://youtu.be/k8gx-C7GCGU,Boy,Major,217,k8gx-C7GCGU,18247228,1057193,79439
2020-05-07,Moon Jongup,Headache feat. Yunhway,개화,,https://youtu.be/KTAZ7I8RylM,Boy Solo,Major,205,KTAZ7I8RylM,242318,25250,2071
2020-05-07,Natty,Nineteen,,,https://youtu.be/rQpWdm5zHOU,Girl Solo,Major,214,rQpWdm5zHOU,8474039,384423,18460
